service_id,date,exception_type
0GB0010070_515GB001,20170107,1
0GB0010070_515GB001,20170114,1
0GB0010070_515GB001,20170121,1
0GB0010070_515GB001,20170128,1
0GB0010072_645GB002,20170107,1
0GB0010072_645GB004,20170107,1
0GB0010072_645GB006,20170107,1
0GB0010072_645GB008,20170107,1
0GB0010072_645GB010,20170107,1
0GB0010072_645GB011,20170107,1
0GB0010072_645GB012,20170107,1
0GB0010072_645GB015,20170107,1
0GB0010072_645GB016,20170107,1
0GB0010072_645GB017,20170107,1
0GB0010072_645GB002,20170114,1
0GB0010072_645GB004,20170114,1
0GB0010072_645GB006,20170114,1
0GB0010072_645GB008,20170114,1
0GB0010072_645GB010,20170114,1
0GB0010072_645GB011,20170114,1
0GB0010072_645GB012,20170114,1
0GB0010072_645GB015,20170114,1
0GB0010072_645GB016,20170114,1
0GB0010072_645GB017,20170114,1
0GB0010072_645GB002,20170121,1
0GB0010072_645GB004,20170121,1
0GB0010072_645GB006,20170121,1
0GB0010072_645GB008,20170121,1
0GB0010072_645GB010,20170121,1
0GB0010072_645GB011,20170121,1
0GB0010072_645GB012,20170121,1
0GB0010072_645GB015,20170121,1
0GB0010072_645GB016,20170121,1
0GB0010072_645GB017,20170121,1
0GB0010072_645GB002,20170128,1
0GB0010072_645GB004,20170128,1
0GB0010072_645GB006,20170128,1
0GB0010072_645GB008,20170128,1
0GB0010072_645GB010,20170128,1
0GB0010072_645GB011,20170128,1
0GB0010072_645GB012,20170128,1
0GB0010072_645GB015,20170128,1
0GB0010072_645GB016,20170128,1
0GB0010072_645GB017,20170128,1
0GB0010073_641GB002,20170107,1
0GB0010073_641GB004,20170107,1
0GB0010073_641GB006,20170107,1
0GB0010073_641GB002,20170114,1
0GB0010073_641GB004,20170114,1
0GB0010073_641GB006,20170114,1
0GB0010073_641GB002,20170121,1
0GB0010073_641GB004,20170121,1
0GB0010073_641GB006,20170121,1
0GB0010073_641GB002,20170128,1
0GB0010073_641GB004,20170128,1
0GB0010073_641GB006,20170128,1
0GB0010077_515GB001,20170108,1
0GB0010077_515GB001,20170115,1
0GB0010077_515GB001,20170122,1
0GB0010077_515GB001,20170129,1
0GB0010078_513GB001,20170108,1
0GB0010078_513GB003,20170108,1
0GB0010078_513GB004,20170108,1
0GB0010078_513GB005,20170108,1
0GB0010078_513GB001,20170115,1
0GB0010078_513GB003,20170115,1
0GB0010078_513GB004,20170115,1
0GB0010078_513GB005,20170115,1
0GB0010078_513GB001,20170122,1
0GB0010078_513GB003,20170122,1
0GB0010078_513GB004,20170122,1
0GB0010078_513GB005,20170122,1
0GB0010078_513GB001,20170129,1
0GB0010078_513GB003,20170129,1
0GB0010078_513GB004,20170129,1
0GB0010078_513GB005,20170129,1
0GB0010080_641GB001,20170108,1
0GB0010080_641GB003,20170108,1
0GB0010080_641GB005,20170108,1
0GB0010080_641GB001,20170115,1
0GB0010080_641GB003,20170115,1
0GB0010080_641GB005,20170115,1
0GB0010080_641GB001,20170122,1
0GB0010080_641GB003,20170122,1
0GB0010080_641GB005,20170122,1
0GB0010080_641GB001,20170129,1
0GB0010080_641GB003,20170129,1
0GB0010080_641GB005,20170129,1
0GB0010081_645GB001,20170108,1
0GB0010081_645GB003,20170108,1
0GB0010081_645GB005,20170108,1
0GB0010081_645GB007,20170108,1
0GB0010081_645GB009,20170108,1
0GB0010081_645GB011,20170108,1
0GB0010081_645GB013,20170108,1
0GB0010081_645GB015,20170108,1
0GB0010081_645GB016,20170108,1
0GB0010081_645GB001,20170115,1
0GB0010081_645GB003,20170115,1
0GB0010081_645GB005,20170115,1
0GB0010081_645GB007,20170115,1
0GB0010081_645GB009,20170115,1
0GB0010081_645GB011,20170115,1
0GB0010081_645GB013,20170115,1
0GB0010081_645GB015,20170115,1
0GB0010081_645GB016,20170115,1
0GB0010081_645GB001,20170122,1
0GB0010081_645GB003,20170122,1
0GB0010081_645GB005,20170122,1
0GB0010081_645GB007,20170122,1
0GB0010081_645GB009,20170122,1
0GB0010081_645GB011,20170122,1
0GB0010081_645GB013,20170122,1
0GB0010081_645GB015,20170122,1
0GB0010081_645GB016,20170122,1
0GB0010081_645GB001,20170129,1
0GB0010081_645GB003,20170129,1
0GB0010081_645GB005,20170129,1
0GB0010081_645GB007,20170129,1
0GB0010081_645GB009,20170129,1
0GB0010081_645GB011,20170129,1
0GB0010081_645GB013,20170129,1
0GB0010081_645GB015,20170129,1
0GB0010081_645GB016,20170129,1
0PE0010059_510PE001,20170104,1
0PE0010059_510PE003,20170104,1
0PE0010059_510PE005,20170104,1
0PE0010059_510PE007,20170104,1
0PE0010059_510PE001,20170105,1
0PE0010059_510PE003,20170105,1
0PE0010059_510PE005,20170105,1
0PE0010059_510PE007,20170105,1
0PE0010059_510PE001,20170106,1
0PE0010059_510PE003,20170106,1
0PE0010059_510PE005,20170106,1
0PE0010059_510PE007,20170106,1
0PE0010059_510PE001,20170109,1
0PE0010059_510PE003,20170109,1
0PE0010059_510PE005,20170109,1
0PE0010059_510PE007,20170109,1
