route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
429,RM00100007_100RM001,RM00100007_100RM001_2,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_3,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_4,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_5,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_6,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_7,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_10,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_11,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_12,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_13,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_14,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_15,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_16,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_17,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_18,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_19,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_20,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_21,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_22,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_23,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM001,RM00100007_100RM001_26,Recife antigo,0,,Route_1151
429,RM00100007_100RM001,RM00100007_100RM001_27,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_2,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_3,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_4,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_5,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_6,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_7,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_10,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_11,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_12,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_13,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_14,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_15,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_16,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_17,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_18,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_19,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_20,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_21,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_22,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_23,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM002,RM00100007_100RM002_26,Recife antigo,0,,Route_1151
429,RM00100007_100RM002,RM00100007_100RM002_27,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_2,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_3,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_4,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_5,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_6,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_7,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_10,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_11,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_12,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_13,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_14,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_15,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_16,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_17,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_18,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_19,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_20,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_21,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_22,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_23,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM003,RM00100007_100RM003_26,Recife antigo,0,,Route_1151
429,RM00100007_100RM003,RM00100007_100RM003_27,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_2,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_3,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_4,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_5,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_6,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_7,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_8,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_9,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_12,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_13,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_14,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_15,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_16,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_17,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_18,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_19,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_20,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_21,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_22,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_23,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_26,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_27,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM004,RM00100007_100RM004_28,Recife antigo,0,,Route_1151
429,RM00100007_100RM004,RM00100007_100RM004_29,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_2,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_3,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_4,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_5,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_6,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_7,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_10,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_11,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_12,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_13,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_14,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_15,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_16,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_17,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_18,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_19,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_20,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_21,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_22,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_23,Terminal Integrado Joana Bezerra,1,,Route_1152
429,RM00100007_100RM005,RM00100007_100RM005_26,Recife antigo,0,,Route_1151
429,RM00100007_100RM005,RM00100007_100RM005_27,Terminal Integrado Joana Bezerra,1,,Route_1152
439,RM00100177_101RM001,RM00100177_101RM001_2,Terminal de Passageiros Cais de Santa Rita,0,,Route_1167
439,RM00100177_101RM001,RM00100177_101RM001_3,Terminal Integrado Joana Bezerra,1,,Route_1168
439,RM00100177_101RM001,RM00100177_101RM001_4,Terminal de Passageiros Cais de Santa Rita,0,,Route_1167
