"matricula","unidade","nome","estado","linha"
"EZL4534","12140.0","MobiBrasil","5.0","350.0"
"KFG9789","81045.0","Conorte","5.0","126.0"
"KFG9809","81044.0","Conorte","5.0","127.0"
"KFG9829","81038.0","Conorte","5.0","48.0"
"KFG9849","81035.0","Conorte","5.0","48.0"
"KFL2326","81661.0","Conorte","5.0","124.0"
"KFS9699","81820.0","Conorte","5.0","149.0"
"KFT1119","81800.0","Conorte","5.0","126.0"
"KFU8044","81850.0","Conorte","5.0","126.0"
"KFU8274","81840.0","Conorte","5.0","118.0"
"KFX0164","81622.0","Conorte","5.0","132.0"
"KFX2644","81619.0","Conorte","5.0","129.0"
"KFY1246","81029.0","Conorte","5.0","46.0"
"KFZ0049","81034.0","Conorte","5.0","122.0"
"KFZ0069","81033.0","Conorte","5.0","162.0"
"KFZ0199","81031.0","Conorte","5.0","46.0"
"KGA2346","81663.0","Conorte","5.0","367.0"
"KGG2336","81662.0","Conorte","5.0","100.0"
"KGI6766","81604.0","Conorte","5.0","129.0"
"KGJ5386","81040.0","Conorte","5.0","132.0"
"KGO4231","81017.0","Conorte","5.0","122.0"
"KGO6271","81018.0","Conorte","5.0","126.0"
"KGO7211","81021.0","Conorte","5.0","122.0"
"KGO8381","81025.0","Conorte","5.0","126.0"
"KGQ2306","81659.0","Conorte","5.0","544.0"
"KGR8167","81684.0","Conorte","5.0","107.0"
"KGS5117","81678.0","Conorte","5.0","107.0"
"KGS5187","81679.0","Conorte","5.0","186.0"
"KGS5247","81680.0","Conorte","5.0","124.0"
"KGS5257","81681.0","Conorte","5.0","129.0"
"KGS5347","81682.0","Conorte","5.0","114.0"
"KGS5387","81683.0","Conorte","5.0","107.0"
"KGW6426","81655.0","Conorte","5.0","125.0"
"KGX5656","81051.0","Conorte","5.0","548.0"
"KGY0493","50489.0","Globo","5.0","93.0"
"KGY0863","50479.0","Globo","5.0","93.0"
"KGY1607","81307.0","Conorte","5.0","126.0"
"KHD2296","81660.0","Conorte","5.0","544.0"
"KHD9099","50399.0","Globo","5.0","93.0"
"KHD9459","50409.0","Globo","5.0","98.0"
"KHH1337","81675.0","Conorte","5.0","107.0"
"KHI1963","81020.0","Conorte","5.0","548.0"
"KHI2053","81019.0","Conorte","5.0","162.0"
"KHI2193","81012.0","Conorte","5.0","137.0"
"KHI2213","81011.0","Conorte","5.0","137.0"
"KHI2343","81068.0","Conorte","5.0","127.0"
"KHI2453","81016.0","Conorte","5.0","48.0"
"KHI2713","81065.0","Conorte","5.0","127.0"
"KHI2763","81064.0","Conorte","5.0","126.0"
"KHI3410","50459.0","Globo","5.0","86.0"
"KHK5856","81304.0","Conorte","5.0","126.0"
"KHL3886","81397.0","Conorte","5.0","126.0"
"KHL6456","81658.0","Conorte","5.0","124.0"
"KHL6824","81612.0","Conorte","5.0","132.0"
"KHL7274","81621.0","Conorte","5.0","126.0"
"KHL7594","81618.0","Conorte","5.0","126.0"
"KHM6194","50120.0","Globo","5.0","85.0"
"KHO0736","15824.0","Pedrosa","5.0","559.0"
"KHS5071","81857.0","Conorte","5.0","126.0"
"KHS5454","12056.0","MobiBrasil","5.0","301.0"
"KHS5474","12057.0","MobiBrasil","5.0","301.0"
"KHS5924","12069.0","MobiBrasil","5.0","301.0"
"KHS6004","12059.0","MobiBrasil","5.0","301.0"
"KHS6024","12055.0","MobiBrasil","5.0","301.0"
"KHS6034","12051.0","MobiBrasil","5.0","64.0"
"KHS6054","12052.0","MobiBrasil","5.0","301.0"
"KHS6421","81867.0","Conorte","5.0","126.0"
"KHT1050","81677.0","Conorte","5.0","547.0"
"KHT7547","81605.0","Conorte","5.0","129.0"
"KHT7567","81606.0","Conorte","5.0","132.0"
"KHT7657","81610.0","Conorte","5.0","129.0"
"KHT7697","81611.0","Conorte","5.0","129.0"
"KHT7757","81613.0","Conorte","5.0","132.0"
"KHW4509","50067.0","Globo","5.0","88.0"
"KIL6446","81657.0","Conorte","5.0","460.0"
"KIL6804","81046.0","Conorte","5.0","162.0"
"KIL6984","81058.0","Conorte","5.0","127.0"
"KIL6994","81057.0","Conorte","5.0","121.0"
